"text","n","stance"
"CNN has their own little agenda socialist agenda they don’t believe in freedom of speech they don’t believe anyone that doesn’t side with them to talk The most despicable station areas with so-called reporters that’s not journalism looking for new jobs You should be",2,"Strong Agreement"
"CNN has their own little agenda socialist agenda they don’t believe in freedom of speech they don’t believe anyone that doesn’t side with them to talk The most despicable station areas with so-called reporters that’s not journalism looking for new jobs You should be",2,"Weak Agreement"
"CNN is a total Dumpster Fire...
#CNNStalkers #CNNDoxing",2,"Strong Agreement"
"CNN is a total Dumpster Fire...
#CNNStalkers #CNNDoxing",2,"Weak Disagreement"
"Cnn is fake",2,"Weak Agreement"
"Cnn is just to much. But Colton deserves our praise for standing up for what’s true",2,"Strong Agreement"
"CNN manipulated people to push their agenda? I’m utterly shocked.",2,"Neutral"
"CNN only wants to spread their narrative. These JROTC members would be the ppl that CNN would look for if there was an active shooter. Can’t bounce bullets off of fake news!",2,"Strong Agreement"
"CNN sucks so badly!",2,"Weak Agreement"
"CNN will get the results they are wanting. Gun shops will no longer be selling AR-15’s as of Friday. Because they’re going to sell out tomorrow!",2,"Strong Agreement"
"Communist News Network",2,"Weak Agreement"
"Consider who else would be on Craigslit asking for names, pics and phone numbers...especially if the ad would draw kid/teens.",2,"Weak Agreement"
"Consider who else would be on Craigslit asking for names, pics and phone numbers...especially if the ad would draw kid/teens.",2,"Weak Disagreement"
"Continuation.... And there children in other to destroy America. But thank God is a failure already.",2,"Weak Agreement"
"Control and strict intolerance, CNN is like the Nazis!",2,"Strong Agreement"
"Damn. Will someone please act like they're going to play the part and then call bs on live tv?",2,"Neutral"
"Damn. Will someone please act like they're going to play the part and then call bs on live tv?",2,"Weak Disagreement"
"Did you see the post of a Emma Gonzalez 'ripping up our Constitution' with 3 others?",2,"Neutral"
"Digital Design & Imaging Service in Falls Church, Virginia, estimated the peak crowd size at 202,796, with a 15 percent margin of error, according to CBS News.

And the majority of them were adults. So much for a """"youth movement""""",2,"Strong Disagreement"
"Digital Design & Imaging Service in Falls Church, Virginia, estimated the peak crowd size at 202,796, with a 15 percent margin of error, according to CBS News.

And the majority of them were adults. So much for a """"youth movement""""",2,"Weak Disagreement"
"Does this surprise anyone?
The PLSDs and their media patsies don't want to make schools safe, just take away the 2nd Amendment.
Training and arming school staff is the only way to protect students--just like we did with the pilots.",2,"Strong Agreement"
"Doesn’t anyone find these kids loving the celebrity life created by their friends deaths creepy at best?",2,"Strong Disagreement"
"Doesn’t anyone find these kids loving the celebrity life created by their friends deaths creepy at best?",2,"Neutral"
"Don't forget Bloomberg and other liberal billionaires.",2,"Neutral"
"Don't really care whether he's coached or not be cause he's  gonna say ban guns with the usual rhetoric anyway. Banning those AR rifles wouldn't have stopped anything.",2,"Weak Agreement"
"Entitled rich white kids?",2,"Weak Agreement"
"Entitled rich white kids?",2,"Strong Agreement"
"Every time I #retweet this when I see it #MAGA #sheep365 #HoggTied #HoggWash #DraintheSwamp #FakeNews #exploitation #ParklandShooting #BrowardCounty #NRA #PatriotsUnite #AmericaFirst #Trump @realDonaldTrump @POTUS #Pray4DJT",2,"Strong Agreement"
"Every time I #retweet this when I see it #MAGA #sheep365 #HoggTied #HoggWash #DraintheSwamp #FakeNews #exploitation #ParklandShooting #BrowardCounty #NRA #PatriotsUnite #AmericaFirst #Trump @realDonaldTrump @POTUS #Pray4DJT",2,"Weak Agreement"
"Everyone says problems at FBI are only at the top. I disagree. I don't believe any agents can be trusted to do their job. Too many failures.",2,"Weak Agreement"
"Everyone that can think for themselves knows the truth",2,"Neutral"
"Everyone that can think for themselves knows the truth",2,"Weak Agreement"
"Factoid: Universities have been arming their campus security over the past ten years. It's not a new idea. It's a new world. In fact, once elementary and high schools start down that path any who don't can be held liable.",1,"Weak Agreement"
"Factoid: Universities have been arming their campus security over the past ten years. It's not a new idea. It's a new world. In fact, once elementary and high schools start down that path any who don't can be held liable.",1,"Strong Agreement"
"Factoid: Universities have been arming their campus security over the past ten years. It's not a new idea. It's a new world. In fact, once elementary and high schools start down that path any who don't can be held liable.",1,"Strong Disagreement"
"Factoid: Universities have been arming their campus security over the past ten years. It's not a new idea. It's a new world. In fact, once elementary and high schools start down that path any who don't can be held liable.",1,"Weak Disagreement"
"Factoid: Universities have been arming their campus security over the past ten years. It's not a new idea. It's a new world. In fact, once elementary and high schools start down that path any who don't can be held liable.",1,"Neutral"
"Fake News",2,"Strong Disagreement"
"Fake News",2,"Neutral"
"Fake news..",2,"Neutral"
"Fake news..",2,"Weak Disagreement"
"Fake???  Maybe???",2,"Weak Agreement"
"Figured CNN = Fake News",2,"Neutral"
"Figured this was going on cause it is a CNN Town Hall. Surprised they didn't give the sheriff the questions ahead of time.",2,"Strong Agreement"
"Finally an actual student's point of view",2,"Strong Agreement"
"Finally an actual student's point of view",2,"Weak Agreement"
"Follow the money! How are they paying for buses, planes, hotels etc.?",2,"Neutral"
"For the people standing up for the kids on CNN. It's not about what the kids are saying. It's about what they are told to say. Children are being manipulated to manipulate you. I feel for those children. And I fear for their future.",2,"Strong Agreement"
"For the people standing up for the kids on CNN. It's not about what the kids are saying. It's about what they are told to say. Children are being manipulated to manipulate you. I feel for those children. And I fear for their future.",2,"Weak Agreement"
"Forget the CPR classes keep doing what your doing! The current leaders are lost with their ridiculous suggestion and loyality to the NRA. Why is the NRA targeting these victims when did they become your enemies? The phrase """"Methinks the lady doth protest too much"""" comes to mind",2,"Weak Agreement"
"Forget the CPR classes keep doing what your doing! The current leaders are lost with their ridiculous suggestion and loyality to the NRA. Why is the NRA targeting these victims when did they become your enemies? The phrase """"Methinks the lady doth protest too much"""" comes to mind",2,"Strong Agreement"
"Good for you!!!",2,"Strong Agreement"
"Good for you!!!",2,"Weak Agreement"
"Good job kid",2,"Strong Agreement"
"Good job kid",2,"Weak Agreement"
"Grief affects us all differently",2,"Strong Disagreement"
"Grief affects us all differently",2,"Neutral"
"He's a plant black hat response team member",2,"Neutral"
"He's a plant black hat response team member",2,"Strong Agreement"
"He better be careful because some CNN whack job may show up at his house with cameras rolling to harass him like they did to that woman.",2,"Weak Agreement"
"He better be careful because some CNN whack job may show up at his house with cameras rolling to harass him like they did to that woman.",2,"Strong Agreement"
"He did not say they refused to approve his question.  Let's see what he wrote.
Why hasnt his question been reported if that is the concern?  
Why hasn't the scripted question CNN gave him been shown?",1,"Neutral"
"He did not say they refused to approve his question.  Let's see what he wrote.
Why hasnt his question been reported if that is the concern?  
Why hasn't the scripted question CNN gave him been shown?",1,"Weak Agreement"
"He did not say they refused to approve his question.  Let's see what he wrote.
Why hasnt his question been reported if that is the concern?  
Why hasn't the scripted question CNN gave him been shown?",1,"Strong Agreement"
"He did not say they refused to approve his question.  Let's see what he wrote.
Why hasnt his question been reported if that is the concern?  
Why hasn't the scripted question CNN gave him been shown?",1,"Weak Disagreement"
"He did not say they refused to approve his question.  Let's see what he wrote.
Why hasnt his question been reported if that is the concern?  
Why hasn't the scripted question CNN gave him been shown?",1,"Strong Disagreement"
"he was a good guy with a question, right?",2,"Neutral"
"he was a good guy with a question, right?",2,"Weak Disagreement"
"He’s the punk who spent weeks before the shootings at his high school, posting scurrilous attacks on conservatives via his Facebook page.",2,"Weak Disagreement"
"Here I thought they were in mourning. They look like they having hella fun.",2,"Weak Agreement"
"Here’s how it works...",2,"Strong Disagreement"
"Holy Shit!! @JacobAWohl is a super sleuth!! Nothing gets by this guy!! From a failed hedge fund manager to secret agent man in one presidential term.",2,"Weak Disagreement"
"Holy Shit!! @JacobAWohl is a super sleuth!! Nothing gets by this guy!! From a failed hedge fund manager to secret agent man in one presidential term.",2,"Strong Disagreement"
"How did he know to be in FL at this time?",2,"Weak Agreement"
"How did he know to be in FL at this time?",2,"Weak Disagreement"
"How sad, CNN silencing victims who aren't to their liking, and chase down and harass elderly people.",2,"Weak Agreement"
"How sad, CNN silencing victims who aren't to their liking, and chase down and harass elderly people.",2,"Strong Agreement"
"http://thehill.com/homenews/media/375401-cnn-releases-emails-to-push-back-on-claim-about-scripted-town-hall-question … fact check, cuz @Thomas_Hanna45",2,"Weak Disagreement"
"http://thehill.com/homenews/media/375401-cnn-releases-emails-to-push-back-on-claim-about-scripted-town-hall-question … fact check, cuz @Thomas_Hanna45",2,"Neutral"
"https://www.youtube.com/watch?v=2aQykuIaJVI&sns=em …
Amazing#studentstegisteringVoters #makeChange",2,"Weak Agreement"
"https://www.youtube.com/watch?v=2aQykuIaJVI&sns=em …
Amazing#studentstegisteringVoters #makeChange",2,"Neutral"
"I'm glad he's speaking out..will it mean anything?",2,"Weak Agreement"
"I'm glad he's speaking out..will it mean anything?",2,"Strong Agreement"
"I'm shocked, SHOCKED I TELL YOU, that CNN would do such a thing.",2,"Strong Agreement"
"I'm willing to renounce my atheism long enough to hope Satan's got Lucian's spot in Hell all picked out and waiting.",2,"Weak Agreement"
"I've saved it everywhere. It's in good hands. He says he doesn't care... CNN seems to.",2,"Strong Agreement"
"I've saved it everywhere. It's in good hands. He says he doesn't care... CNN seems to.",2,"Weak Agreement"
"I am concerned, this kid was all over in LA last summer after a shooting say the same lines??? What’s up with that?",2,"Weak Agreement"
"I am concerned, this kid was all over in LA last summer after a shooting say the same lines??? What’s up with that?",2,"Strong Agreement"
"I Boycott CNN",2,"Strong Disagreement"
"I have not heard any empathy from him! His angry face & obvious agenda does not lead to solutions! Just telling me how to think! NO WAY LIBS",2,"Weak Agreement"
"I KNEW IT WAS STAGED!",2,"Strong Agreement"
"I KNEW IT WAS STAGED!",2,"Weak Disagreement"
"I mean, where do I begin...these “victims” and their AstroTurf movement smells an awful lot like how Obama started his career with shadowy people pulling their strings. For the left, it’s always about the power, the next election. And, Planned Parenthood-are you kidding me? #BS",1,"Strong Disagreement"
"I mean, where do I begin...these “victims” and their AstroTurf movement smells an awful lot like how Obama started his career with shadowy people pulling their strings. For the left, it’s always about the power, the next election. And, Planned Parenthood-are you kidding me? #BS",1,"Neutral"
"I mean, where do I begin...these “victims” and their AstroTurf movement smells an awful lot like how Obama started his career with shadowy people pulling their strings. For the left, it’s always about the power, the next election. And, Planned Parenthood-are you kidding me? #BS",1,"Weak Disagreement"
"I mean, where do I begin...these “victims” and their AstroTurf movement smells an awful lot like how Obama started his career with shadowy people pulling their strings. For the left, it’s always about the power, the next election. And, Planned Parenthood-are you kidding me? #BS",1,"Strong Agreement"
"I mean, where do I begin...these “victims” and their AstroTurf movement smells an awful lot like how Obama started his career with shadowy people pulling their strings. For the left, it’s always about the power, the next election. And, Planned Parenthood-are you kidding me? #BS",1,"Weak Agreement"
"I NEVER agree with Dice, but here he is right.  We should hear all points of view and discuss them. I am not at first interested in armed teachers, etc, but totally willing to listen to the idea.  Both sides need to Sit the F Down and talk",2,"Weak Agreement"
"I remember how solemn kids were in my high school when classmates died.  There were no smiles, no laughing or cajoling, no photos, no profit made.",2,"Strong Disagreement"
"I see Soros  in these payments - he supports all events against our Constitution.",2,"Strong Agreement"
"I thought the students who played dead gunshot victims were particularly skilled.",2,"Neutral"
"I thought the students who played dead gunshot victims were particularly skilled.",2,"Weak Disagreement"
"I would like to know if he goes to Marjory Stoneman Douglas High School. I have a feeling he doesn't and just went there to grandstand.",2,"Strong Agreement"
"I’d say I’m surprised by this, but I’d be lying.",2,"Weak Agreement"
"I’m this clearly states they’re looking for merch salespeople... who the fuck is this guy and what stupid hole did he crawl out of... #MarchForOurLivesLA",2,"Strong Disagreement"
"If only all the money shelled out for these stupid protests over the past year were used to actually help people or solve something we’d be heading in the right direction",2,"Strong Agreement"
"If only these teens & their parents were educated on Soros & how evil he is & the active role he played when he was a young child helping Hitler round up his Jewish neighbors during the 30's...maybe they would think twice about allowing their kids to be used by such evil?!",2,"Weak Agreement"
"If only these teens & their parents were educated on Soros & how evil he is & the active role he played when he was a young child helping Hitler round up his Jewish neighbors during the 30's...maybe they would think twice about allowing their kids to be used by such evil?!",2,"Strong Agreement"
"If people stop giving these shit bags exposure and oxygen they won’t have a platform any longer.",2,"Weak Disagreement"
"If people stop giving these shit bags exposure and oxygen they won’t have a platform any longer.",2,"Neutral"
"If the FBI knew before hand about the Boston bombing and other school shootings then why did the let ppl die & suffer unless they are pushing to take out guns & 2a away which is what the Dems and Libs want. Just an observation and ?.",2,"Strong Agreement"
"Imagine  planned parenthood being involved in something trying to save children .  Kind of an oxymoron",2,"Weak Agreement"
"Imagine  planned parenthood being involved in something trying to save children .  Kind of an oxymoron",2,"Neutral"
"Imagine my shock.",2,"Weak Agreement"
"Imagine my shock.",2,"Strong Agreement"
"Incredible......

Are his 15 minutes up yet?",2,"Weak Agreement"
"Incredible......

Are his 15 minutes up yet?",2,"Strong Agreement"
"Interesting how all the CNN students now have blue check twitter accounts w hundreds of thousands of followers and this patriot can't be found on twitter. Get out there Colton we need you. By the way, the Marines are looking for a few good men. ",2,"Strong Agreement"
"Interesting that he's the only one who says he was forced to do this. When you get 6 more kids saying the same thing....call me.",2,"Neutral"
"Interesting that Hogg references his friend was in the bathroom where the """"hallway shooter"""" was, not Cruz or shooter but """"hallway shooter"""" 3 students have said more than one shooter, now Hogg terminology implies that also!",2,"Weak Agreement"
"Interesting that Hogg references his friend was in the bathroom where the """"hallway shooter"""" was, not Cruz or shooter but """"hallway shooter"""" 3 students have said more than one shooter, now Hogg terminology implies that also!",2,"Neutral"
"Interesting they can be bought, $$$ that’s what it is all about.",2,"Weak Agreement"
"Interesting they can be bought, $$$ that’s what it is all about.",2,"Strong Agreement"
"Is anyone surprised?",2,"Strong Agreement"
"Isn't this a jihadi tactic?  They do the same thing with suicide bombers.",2,"Strong Agreement"
"Isn't this a jihadi tactic?  They do the same thing with suicide bombers.",2,"Weak Agreement"
"It's called child abuse. Serious emotional injury.",2,"Weak Agreement"
"It's called child abuse. Serious emotional injury.",2,"Strong Agreement"
"it's weird watching people attack the survivors or a terrorist attack",2,"Strong Disagreement"
"it's weird watching people attack the survivors or a terrorist attack",2,"Weak Disagreement"
"Its not about BANNING ALL GUNS!! ASSAULT WEAPONS are the MAIN http://Issue.NRA  propaganda and #45 that all weapons are wanted abandoned.",2,"Weak Agreement"
"Jacob Wohl is dishonest, crooked, little traitor.",2,"Strong Disagreement"
"Jacob Wohl is dishonest, crooked, little traitor.",2,"Strong Agreement"
"Just when you though the crazy Republicans couldn't go any lower...",2,"Strong Disagreement"
"let's not forget...one of they're own...killed them.....
our kids have a disrespect problem..
no respect for personal property..no respect for life....a gun did not kill....
a disrespectful teenager did..
drinking and driving..drugs..and abortion are killing more than guns#potus",2,"Weak Agreement"
"let's not forget...one of they're own...killed them.....
our kids have a disrespect problem..
no respect for personal property..no respect for life....a gun did not kill....
a disrespectful teenager did..
drinking and driving..drugs..and abortion are killing more than guns#potus",2,"Weak Disagreement"
"Lies and the lying liars who tell them.",2,"Weak Disagreement"
"Lies and the lying liars who tell them.",2,"Strong Disagreement"
"Listen to Jimmy Dore on a NSA whistleblower on corruption",2,"Strong Agreement"
"Listen to Jimmy Dore on a NSA whistleblower on corruption",2,"Neutral"
"Look into CREDO Action. Ran by CREDO Mobile. If you look at the signs protesting the NRA all of them on the lower right hand have CREDO printed on them.",2,"Neutral"
"look like nazi youth with a soyboy on the right of the picture",2,"Neutral"
"Looks Just another “fun” free school outing.",2,"Weak Agreement"
"Looks Just another “fun” free school outing.",2,"Strong Agreement"
"Looks like his daddy set up his son",2,"Neutral"
"Looks like party time...sad",2,"Weak Agreement"
"Lord knows that these lazy basements dwellers wouldn't have done it for free.",2,"Weak Disagreement"
"Lord knows that these lazy basements dwellers wouldn't have done it for free.",2,"Strong Agreement"
"March on Brother.",2,"Strong Agreement"
"March on Brother.",2,"Weak Agreement"
"Merchandising a protest. Ain’t America great? That’s not exactly paying the protestors but hey somebodies gotta make a buck.",2,"Weak Disagreement"
"More censorship!!!",2,"Neutral"
"More Soros bull",2,"Strong Agreement"
"More Soros bull",2,"Weak Agreement"
"Never let a good crisis go to waste per the Rahmfather",2,"Neutral"
"No credibility should be your twitter handle.",2,"Neutral"
"No, Haab’s father pulled him from the town hall because CNN wouldn’t let him give a speech.",2,"Strong Disagreement"
"Not to offend, but no matter the situation, you dont demand a President to see you on your terms. This is what is wrong and makes shooters out of children. They need to learn we have to work to acheive. No one owes you anything, you win on your own and lose on your own",2,"Neutral"
"Nothing in the Buzzfeed article mentions any ties to Soros. That is your own conspiracy theory (you can tell when someone is pushing a conspiracy theory because they use ALL CAPS: SOROS! SOROS!! SOROS!!!).",2,"Strong Agreement"
"Nothing screams patriot then letting his dad write him a speech, then getting mad his son couldn't read it at the event because they wanted student questions, not one kid hogging up the screen for half an hour reading dad's speech.",2,"Strong Agreement"
"Number more like 250,000 per government sources. Hype.",2,"Strong Disagreement"
"Number more like 250,000 per government sources. Hype.",2,"Weak Disagreement"
"Of course they would.",2,"Weak Agreement"
"Of course they would.",2,"Strong Agreement"
"Of Course, it doesn't fit their Agenda.",2,"Neutral"
"Of Course, it doesn't fit their Agenda.",2,"Strong Agreement"
"Of course....he doesnt fit their agenda.",2,"Neutral"
"Of course....he doesnt fit their agenda.",2,"Weak Agreement"
"Oh my, money really talks and people can act like Robots, follow the instructions.",2,"Weak Agreement"
"Oh, and let's not forget to take everyone's mind over the FBI's responsibility for #Parkland. Let's curb the FBI's power not the people's granted to them by the Constitution.",2,"Weak Agreement"
"Oh, and let's not forget to take everyone's mind over the FBI's responsibility for #Parkland. Let's curb the FBI's power not the people's granted to them by the Constitution.",2,"Strong Agreement"
"On Dr. Phil today.
Things that make you go Hmmmmmm....",2,"Strong Agreement"
"On Dr. Phil today.
Things that make you go Hmmmmmm....",2,"Weak Agreement"
"ONE would assume that there is supposed to be a free flowing forum of differing ideas in these things...... only one assumes in his case.
CNN hates it when we call them fake news, and here is why.",2,"Strong Agreement"
"ONE would assume that there is supposed to be a free flowing forum of differing ideas in these things...... only one assumes in his case.
CNN hates it when we call them fake news, and here is why.",2,"Weak Disagreement"
"Oops... except his own father admits to altering those emails.  So CNN wasn’t the one censoring!!  Keep up buddy!",2,"Weak Disagreement"
